CynoEnsembl	Gene	Gene_type	Description	HumanEnsembl	Gene_Human
ENSMFAG00000044312	MDM1	protein_coding	Mdm1 nuclear protein [Source:HGNC Symbol;Acc:HGNC:29917]	ENSG00000111554	MDM1
ENSMFAG00000044313		protein_coding	homeobox D4 [Source:NCBI gene;Acc:107126492]	ENSG00000170166	HOXD4
ENSMFAG00000044314		protein_coding	pyruvate dehydrogenase phosphatase regulatory subunit [Source:NCBI gene;Acc:102138615]	ENSG00000090857	PDPR
ENSMFAG00000044315	GGA1	protein_coding	"golgi associated, gamma adaptin ear containing, ARF binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17842]"	ENSG00000100083	GGA1
ENSMFAG00000044316		protein_coding		ENSG00000115944	COX7A2L
ENSMFAG00000044317	RAB21	protein_coding	"RAB21, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:18263]"	ENSG00000080371	RAB21
ENSMFAG00000044318	RHOU	protein_coding	ras homolog family member U [Source:HGNC Symbol;Acc:HGNC:17794]	ENSG00000116574	RHOU
ENSMFAG00000044319	C5orf34	protein_coding	chromosome 5 open reading frame 34 [Source:HGNC Symbol;Acc:HGNC:24738]	ENSG00000172244	C5orf34
ENSMFAG00000044320	UBFD1	protein_coding	ubiquitin family domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30565]	ENSG00000103353	UBFD1
ENSMFAG00000044321		protein_coding		ENSG00000091583	APOH
ENSMFAG00000044322	SLC9A7	protein_coding	solute carrier family 9 member A7 [Source:HGNC Symbol;Acc:HGNC:17123]	ENSG00000065923	SLC9A7
ENSMFAG00000044323	RINL	protein_coding	Ras and Rab interactor like [Source:HGNC Symbol;Acc:HGNC:24795]	ENSG00000187994	RINL
ENSMFAG00000044324	SLAMF8	protein_coding	SLAM family member 8 [Source:HGNC Symbol;Acc:HGNC:21391]	ENSG00000158714	SLAMF8
ENSMFAG00000044325	ZNF804B	protein_coding	zinc finger protein 804B [Source:HGNC Symbol;Acc:HGNC:21958]	ENSG00000182348	ZNF804B
ENSMFAG00000044326		protein_coding	WD repeat domain 12 [Source:NCBI gene;Acc:102121905]		
ENSMFAG00000044327	TIMD4	protein_coding	T cell immunoglobulin and mucin domain containing 4 [Source:HGNC Symbol;Acc:HGNC:25132]	ENSG00000145850	TIMD4
ENSMFAG00000044328	LMOD3	protein_coding	leiomodin 3 [Source:HGNC Symbol;Acc:HGNC:6649]	ENSG00000163380	LMOD3
ENSMFAG00000044329		protein_coding	SSX family member 3 [Source:NCBI gene;Acc:102124177]	ENSG00000165584	SSX3
ENSMFAG00000044330	CLEC4E	protein_coding	C-type lectin domain family 4 member E [Source:HGNC Symbol;Acc:HGNC:14555]	ENSG00000166523	CLEC4E
ENSMFAG00000044331		pseudogene			
ENSMFAG00000044332	CDC27	protein_coding	cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]	ENSG00000004897	CDC27
ENSMFAG00000044333		protein_coding			
ENSMFAG00000044334	ABLIM3	protein_coding	actin binding LIM protein family member 3 [Source:HGNC Symbol;Acc:HGNC:29132]	ENSG00000173210	ABLIM3
ENSMFAG00000044335		protein_coding			
ENSMFAG00000044336	POU6F1	protein_coding	POU class 6 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9224]	ENSG00000184271	POU6F1
ENSMFAG00000044337	PLPP2	protein_coding	phospholipid phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:9230]	ENSG00000141934	PLPP2
ENSMFAG00000044338	ZNF385C	protein_coding	zinc finger protein 385C [Source:HGNC Symbol;Acc:HGNC:33722]	ENSG00000187595	ZNF385C
ENSMFAG00000044339	MYO5A	protein_coding	myosin VA [Source:HGNC Symbol;Acc:HGNC:7602]	ENSG00000197535	MYO5A
ENSMFAG00000044340	TUBB2B	protein_coding	tubulin beta 2B class IIb [Source:NCBI gene;Acc:101866604]	ENSG00000137285	TUBB2B
ENSMFAG00000044341	NUP133	protein_coding	nucleoporin 133 [Source:HGNC Symbol;Acc:HGNC:18016]	ENSG00000069248	NUP133
ENSMFAG00000044342	LHX6	protein_coding	LIM homeobox 6 [Source:HGNC Symbol;Acc:HGNC:21735]	ENSG00000106852	LHX6
ENSMFAG00000044343		protein_coding	riboflavin kinase [Source:NCBI gene;Acc:102119775]	ENSG00000135002	RFK
ENSMFAG00000044344	ZNF232	protein_coding	zinc finger protein 232 [Source:HGNC Symbol;Acc:HGNC:13026]	ENSG00000167840	ZNF232
ENSMFAG00000044345	CLEC3A	protein_coding	C-type lectin domain family 3 member A [Source:HGNC Symbol;Acc:HGNC:2052]	ENSG00000166509	CLEC3A
ENSMFAG00000044346		protein_coding		ENSG00000223638	RFPL4A
ENSMFAG00000044347	ASF1B	protein_coding	anti-silencing function 1B histone chaperone [Source:HGNC Symbol;Acc:HGNC:20996]	ENSG00000105011	ASF1B
ENSMFAG00000044348		protein_coding			
ENSMFAG00000044349	CCNQ	protein_coding	cyclin Q [Source:HGNC Symbol;Acc:HGNC:28434]	ENSG00000262919	CCNQ
ENSMFAG00000044350		protein_coding			
ENSMFAG00000044351	CHCHD4	protein_coding	coiled-coil-helix-coiled-coil-helix domain containing 4 [Source:HGNC Symbol;Acc:HGNC:26467]	ENSG00000163528	CHCHD4
ENSMFAG00000044352	TMEM82	protein_coding	transmembrane protein 82 [Source:HGNC Symbol;Acc:HGNC:32350]	ENSG00000162460	TMEM82
ENSMFAG00000044353	MANF	protein_coding	mesencephalic astrocyte derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:15461]	ENSG00000145050	MANF
ENSMFAG00000044354	TIMP4	protein_coding	TIMP metallopeptidase inhibitor 4 [Source:HGNC Symbol;Acc:HGNC:11823]	ENSG00000157150	TIMP4
ENSMFAG00000044355		protein_coding			
ENSMFAG00000044356	PCBP2	protein_coding	poly(rC) binding protein 2 [Source:NCBI gene;Acc:102121244]		
ENSMFAG00000044357	VPS8	protein_coding	"VPS8, CORVET complex subunit [Source:HGNC Symbol;Acc:HGNC:29122]"	ENSG00000156931	VPS8
ENSMFAG00000044358	CD274	protein_coding	CD274 molecule [Source:HGNC Symbol;Acc:HGNC:17635]	ENSG00000120217	CD274
ENSMFAG00000044359	EIF2B4	protein_coding	eukaryotic translation initiation factor 2B subunit delta [Source:HGNC Symbol;Acc:HGNC:3260]	ENSG00000115211	EIF2B4
ENSMFAG00000044360	TRMT6	protein_coding	tRNA methyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:20900]	ENSG00000089195	TRMT6
ENSMFAG00000044361		protein_coding			
ENSMFAG00000044362	NAT9	protein_coding	N-acetyltransferase 9 (putative) [Source:HGNC Symbol;Acc:HGNC:23133]	ENSG00000109065	NAT9
ENSMFAG00000044363	MAP1B	protein_coding	microtubule associated protein 1B [Source:HGNC Symbol;Acc:HGNC:6836]	ENSG00000131711	MAP1B
ENSMFAG00000044364	LVRN	protein_coding	laeverin [Source:HGNC Symbol;Acc:HGNC:26904]	ENSG00000172901	LVRN
ENSMFAG00000044365	USP49	protein_coding	ubiquitin specific peptidase 49 [Source:HGNC Symbol;Acc:HGNC:20078]	ENSG00000164663	USP49
ENSMFAG00000044366		protein_coding			
ENSMFAG00000044367	KIF1BP	protein_coding	KIF1 binding protein [Source:HGNC Symbol;Acc:HGNC:23419]	ENSG00000198954	KIF1BP
ENSMFAG00000044368	PCNX3	protein_coding	pecanex 3 [Source:HGNC Symbol;Acc:HGNC:18760]	ENSG00000197136	PCNX3
ENSMFAG00000044369	EFCAB11	protein_coding	EF-hand calcium binding domain 11 [Source:HGNC Symbol;Acc:HGNC:20357]	ENSG00000140025	EFCAB11
ENSMFAG00000044370	THPO	protein_coding	thrombopoietin [Source:HGNC Symbol;Acc:HGNC:11795]	ENSG00000090534	THPO
ENSMFAG00000044371	SRP54	protein_coding	signal recognition particle 54 [Source:NCBI gene;Acc:101926767]	ENSG00000100883	SRP54
ENSMFAG00000044372		protein_coding			
ENSMFAG00000044373	IMMT	protein_coding	inner membrane mitochondrial protein [Source:HGNC Symbol;Acc:HGNC:6047]	ENSG00000132305	IMMT
ENSMFAG00000044374	DAG1	protein_coding	dystroglycan 1 [Source:HGNC Symbol;Acc:HGNC:2666]	ENSG00000173402	DAG1
ENSMFAG00000044375		protein_coding			
ENSMFAG00000044376	STOX2	protein_coding	storkhead box 2 [Source:HGNC Symbol;Acc:HGNC:25450]	ENSG00000173320	STOX2
ENSMFAG00000044377	RPS6	protein_coding	ribosomal protein S6 [Source:HGNC Symbol;Acc:HGNC:10429]	ENSG00000137154	RPS6
ENSMFAG00000044378	CCDC85A	protein_coding	coiled-coil domain containing 85A [Source:HGNC Symbol;Acc:HGNC:29400]	ENSG00000055813	CCDC85A
ENSMFAG00000044379	PDCD5	protein_coding	programmed cell death 5 [Source:HGNC Symbol;Acc:HGNC:8764]	ENSG00000105185	PDCD5
ENSMFAG00000044380		protein_coding			
ENSMFAG00000044381	KEAP1	protein_coding	kelch like ECH associated protein 1 [Source:HGNC Symbol;Acc:HGNC:23177]	ENSG00000079999	KEAP1
ENSMFAG00000044382		protein_coding			
ENSMFAG00000044383		protein_coding	transmembrane protein 191C [Source:NCBI gene;Acc:102119059]	ENSG00000206140	TMEM191C
ENSMFAG00000044384	DUSP2	protein_coding	dual specificity phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3068]	ENSG00000158050	DUSP2
ENSMFAG00000044385		protein_coding	translocase of inner mitochondrial membrane 8 homolog B [Source:NCBI gene;Acc:102131681]	ENSG00000150779	TIMM8B
ENSMFAG00000044386	GREB1	protein_coding	growth regulating estrogen receptor binding 1 [Source:HGNC Symbol;Acc:HGNC:24885]	ENSG00000196208	GREB1
ENSMFAG00000044387	NUDT6	protein_coding	nudix hydrolase 6 [Source:HGNC Symbol;Acc:HGNC:8053]	ENSG00000170917	NUDT6
ENSMFAG00000044388	NKX2-3	protein_coding	NK2 homeobox 3 [Source:HGNC Symbol;Acc:HGNC:7836]	ENSG00000119919	NKX2-3
ENSMFAG00000044389	CYP2E1	protein_coding	cytochrome P450 family 2 subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:2631]	ENSG00000130649	CYP2E1
ENSMFAG00000044390	GPRC5C	protein_coding	G protein-coupled receptor class C group 5 member C [Source:HGNC Symbol;Acc:HGNC:13309]	ENSG00000170412	GPRC5C
ENSMFAG00000044391		pseudogene			
ENSMFAG00000044392	TET1	protein_coding	tet methylcytosine dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:29484]	ENSG00000138336	TET1
ENSMFAG00000044393	CRLF3	protein_coding	cytokine receptor like factor 3 [Source:HGNC Symbol;Acc:HGNC:17177]	ENSG00000176390	CRLF3
ENSMFAG00000044394		protein_coding			
ENSMFAG00000044395		protein_coding		ENSG00000189357	SPATA31D4
ENSMFAG00000044396		protein_coding	uncharacterized protein CXorf49-like [Source:NCBI gene;Acc:102125231]		
ENSMFAG00000044397		protein_coding			
ENSMFAG00000044398	ZNF888	protein_coding	zinc finger protein 888 [Source:HGNC Symbol;Acc:HGNC:38695]	ENSG00000213793	ZNF888
ENSMFAG00000044399	SLC25A35	protein_coding	solute carrier family 25 member 35 [Source:HGNC Symbol;Acc:HGNC:31921]	ENSG00000125434	SLC25A35
ENSMFAG00000044400	TPX2	protein_coding	"TPX2, microtubule nucleation factor [Source:HGNC Symbol;Acc:HGNC:1249]"	ENSG00000088325	TPX2
ENSMFAG00000044401	ZNF865	protein_coding	zinc finger protein 865 [Source:HGNC Symbol;Acc:HGNC:38705]	ENSG00000261221	ZNF865
ENSMFAG00000044402		pseudogene			
ENSMFAG00000044403	SH3GLB1	protein_coding	"SH3 domain containing GRB2 like, endophilin B1 [Source:HGNC Symbol;Acc:HGNC:10833]"	ENSG00000097033	SH3GLB1
ENSMFAG00000044404	CERS4	protein_coding	ceramide synthase 4 [Source:HGNC Symbol;Acc:HGNC:23747]	ENSG00000090661	CERS4
ENSMFAG00000044405		protein_coding			
ENSMFAG00000044406	CAND1	protein_coding	cullin associated and neddylation dissociated 1 [Source:HGNC Symbol;Acc:HGNC:30688]	ENSG00000111530	CAND1
ENSMFAG00000044407		protein_coding			
ENSMFAG00000044408	EFCAB1	protein_coding	EF-hand calcium binding domain 1 [Source:HGNC Symbol;Acc:HGNC:25678]	ENSG00000034239	EFCAB1
ENSMFAG00000044409	SERPINF1	protein_coding	serpin family F member 1 [Source:NCBI gene;Acc:102117417]	ENSG00000132386	SERPINF1
ENSMFAG00000044410	UBE2I	protein_coding	ubiquitin conjugating enzyme E2 I [Source:HGNC Symbol;Acc:HGNC:12485]	ENSG00000103275	UBE2I
ENSMFAG00000044411	DRAM2	protein_coding	DNA damage regulated autophagy modulator 2 [Source:HGNC Symbol;Acc:HGNC:28769]	ENSG00000156171	DRAM2
ENSMFAG00000044412	CCL20	protein_coding	C-C motif chemokine ligand 20 [Source:HGNC Symbol;Acc:HGNC:10619]	ENSG00000115009	CCL20
ENSMFAG00000044413	PTK7	protein_coding	protein tyrosine kinase 7 (inactive) [Source:HGNC Symbol;Acc:HGNC:9618]	ENSG00000112655	PTK7
ENSMFAG00000044414	EPO	protein_coding	"Macaca fascicularis erythropoietin (EPO), mRNA. [Source:RefSeq mRNA;Acc:NM_001284561]"	ENSG00000130427	EPO
ENSMFAG00000044415	TM9SF2	protein_coding	transmembrane 9 superfamily member 2 [Source:HGNC Symbol;Acc:HGNC:11865]	ENSG00000125304	TM9SF2
ENSMFAG00000044416	FSTL5	protein_coding	follistatin like 5 [Source:HGNC Symbol;Acc:HGNC:21386]	ENSG00000168843	FSTL5
ENSMFAG00000044417		pseudogene	TATA-box binding protein associated factor 1 like [Source:NCBI gene;Acc:102138180]		
ENSMFAG00000044418		protein_coding	ral-GDS-related protein-like [Source:NCBI gene;Acc:102115583]		
ENSMFAG00000044419	GLIPR1	protein_coding	GLI pathogenesis related 1 [Source:NCBI gene;Acc:101925830]	ENSG00000139278	GLIPR1
ENSMFAG00000044420	KMO	protein_coding	kynurenine 3-monooxygenase [Source:HGNC Symbol;Acc:HGNC:6381]	ENSG00000117009	KMO
ENSMFAG00000044421	MAML3	protein_coding	mastermind like transcriptional coactivator 3 [Source:HGNC Symbol;Acc:HGNC:16272]	ENSG00000196782	MAML3
ENSMFAG00000044422		protein_coding			
ENSMFAG00000044423	DNAH11	protein_coding	dynein axonemal heavy chain 11 [Source:HGNC Symbol;Acc:HGNC:2942]	ENSG00000105877	DNAH11
ENSMFAG00000044424	ABCB6	protein_coding	ATP binding cassette subfamily B member 6 (Langereis blood group) [Source:HGNC Symbol;Acc:HGNC:47]	ENSG00000115657	ABCB6
ENSMFAG00000044425	ING3	protein_coding	inhibitor of growth family member 3 [Source:HGNC Symbol;Acc:HGNC:14587]	ENSG00000071243	ING3
ENSMFAG00000044426	C16orf86	protein_coding	chromosome 16 open reading frame 86 [Source:HGNC Symbol;Acc:HGNC:33755]	ENSG00000159761	C16orf86
ENSMFAG00000044427	MYO1A	protein_coding	myosin IA [Source:HGNC Symbol;Acc:HGNC:7595]	ENSG00000166866	MYO1A
ENSMFAG00000044428	PFDN1	protein_coding	prefoldin subunit 1 [Source:HGNC Symbol;Acc:HGNC:8866]	ENSG00000113068	PFDN1
ENSMFAG00000044429	MICU3	protein_coding	mitochondrial calcium uptake family member 3 [Source:HGNC Symbol;Acc:HGNC:27820]	ENSG00000155970	MICU3
ENSMFAG00000044430	HKDC1	protein_coding	hexokinase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23302]	ENSG00000156510	HKDC1
ENSMFAG00000044431	LYST	protein_coding	lysosomal trafficking regulator [Source:HGNC Symbol;Acc:HGNC:1968]	ENSG00000143669	LYST
ENSMFAG00000044432	SLC25A21	protein_coding	solute carrier family 25 member 21 [Source:HGNC Symbol;Acc:HGNC:14411]	ENSG00000183032	SLC25A21
ENSMFAG00000044433	SPP2	protein_coding	secreted phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:11256]	ENSG00000072080	SPP2
ENSMFAG00000044434		protein_coding	leukocyte immunoglobulin-like receptor subfamily A member 6 [Source:NCBI gene;Acc:102144397]		
ENSMFAG00000044435	PAX1	protein_coding	paired box 1 [Source:HGNC Symbol;Acc:HGNC:8615]	ENSG00000125813	PAX1
ENSMFAG00000044436	ERI3	protein_coding	ERI1 exoribonuclease family member 3 [Source:HGNC Symbol;Acc:HGNC:17276]	ENSG00000117419	ERI3
ENSMFAG00000044437	ACIN1	protein_coding	apoptotic chromatin condensation inducer 1 [Source:HGNC Symbol;Acc:HGNC:17066]	ENSG00000100813	ACIN1
ENSMFAG00000044438		protein_coding		ENSG00000123562	MORF4L2
ENSMFAG00000044439	HTRA1	protein_coding	HtrA serine peptidase 1 [Source:HGNC Symbol;Acc:HGNC:9476]	ENSG00000166033	HTRA1
ENSMFAG00000044440	CYP2S1	protein_coding	cytochrome P450 family 2 subfamily S member 1 [Source:HGNC Symbol;Acc:HGNC:15654]	ENSG00000167600	CYP2S1
ENSMFAG00000044441	CPXCR1	protein_coding	"CPX chromosome region, candidate 1 [Source:NCBI gene;Acc:101865504]"	ENSG00000147183	CPXCR1
ENSMFAG00000044442	C8orf37	protein_coding	chromosome 8 open reading frame 37 [Source:HGNC Symbol;Acc:HGNC:27232]	ENSG00000156172	C8orf37
ENSMFAG00000044443	SLC9A3R2	protein_coding	SLC9A3 regulator 2 [Source:HGNC Symbol;Acc:HGNC:11076]	ENSG00000065054	SLC9A3R2
ENSMFAG00000044444		protein_coding			
ENSMFAG00000044445	BMP2K	protein_coding	BMP2 inducible kinase [Source:HGNC Symbol;Acc:HGNC:18041]	ENSG00000138756	BMP2K
ENSMFAG00000044446	YY1AP1	protein_coding	YY1 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:30935]	ENSG00000163374	YY1AP1
ENSMFAG00000044447		protein_coding	"chromosome 9 open reading frame, human C10orf53 [Source:NCBI gene;Acc:102146374]"	ENSG00000178645	C10orf53
ENSMFAG00000044448		protein_coding	"PWP2, small subunit processome component [Source:NCBI gene;Acc:102135516]"	ENSG00000241945	PWP2
ENSMFAG00000044449	CNOT11	protein_coding	CCR4-NOT transcription complex subunit 11 [Source:HGNC Symbol;Acc:HGNC:25217]	ENSG00000158435	CNOT11
ENSMFAG00000044450	SLC17A9	protein_coding	solute carrier family 17 member 9 [Source:HGNC Symbol;Acc:HGNC:16192]	ENSG00000101194	SLC17A9
ENSMFAG00000044451	HTR3A	protein_coding	5-hydroxytryptamine receptor 3A [Source:HGNC Symbol;Acc:HGNC:5297]	ENSG00000166736	HTR3A
ENSMFAG00000044452		protein_coding			
ENSMFAG00000044453	EML6	protein_coding	echinoderm microtubule associated protein like 6 [Source:HGNC Symbol;Acc:HGNC:35412]	ENSG00000214595	EML6
ENSMFAG00000044454	LY6E	protein_coding	lymphocyte antigen 6 family member E [Source:NCBI gene;Acc:101866361]		
ENSMFAG00000044455	MYO1C	protein_coding	myosin IC [Source:HGNC Symbol;Acc:HGNC:7597]	ENSG00000197879	MYO1C
ENSMFAG00000044456	PXDC1	protein_coding	PX domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21361]	ENSG00000168994	PXDC1
ENSMFAG00000044457		protein_coding	cytochrome P450 1A1-like [Source:NCBI gene;Acc:102143714]		
ENSMFAG00000044458	CELA1	protein_coding	chymotrypsin like elastase family member 1 [Source:NCBI gene;Acc:102139348]	ENSG00000139610	CELA1
ENSMFAG00000044459	DTD2	protein_coding	D-tyrosyl-tRNA deacylase 2 (putative) [Source:HGNC Symbol;Acc:HGNC:20277]	ENSG00000129480	DTD2
ENSMFAG00000044460	VPS13D	protein_coding	vacuolar protein sorting 13 homolog D [Source:HGNC Symbol;Acc:HGNC:23595]	ENSG00000048707	VPS13D
ENSMFAG00000044461	NUP210	protein_coding	nucleoporin 210 [Source:HGNC Symbol;Acc:HGNC:30052]	ENSG00000132182	NUP210
ENSMFAG00000044462	NKX2-4	protein_coding	NK2 homeobox 4 [Source:HGNC Symbol;Acc:HGNC:7837]	ENSG00000125816	NKX2-4
ENSMFAG00000044463		protein_coding			
ENSMFAG00000044464	ADCYAP1	protein_coding	adenylate cyclase activating polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:241]	ENSG00000141433	ADCYAP1
ENSMFAG00000044465	GBP7	protein_coding	guanylate binding protein 7 [Source:HGNC Symbol;Acc:HGNC:29606]	ENSG00000213512	GBP7
ENSMFAG00000044466	LMAN2	protein_coding	"lectin, mannose binding 2 [Source:HGNC Symbol;Acc:HGNC:16986]"	ENSG00000169223	LMAN2
ENSMFAG00000044467	HOXA11	protein_coding	homeobox A11 [Source:HGNC Symbol;Acc:HGNC:5101]	ENSG00000005073	HOXA11
ENSMFAG00000044468	ADH5	protein_coding	"alcohol dehydrogenase 5 (class III), chi polypeptide [Source:HGNC Symbol;Acc:HGNC:253]"	ENSG00000197894	ADH5
ENSMFAG00000044469	SAMD13	protein_coding	sterile alpha motif domain containing 13 [Source:HGNC Symbol;Acc:HGNC:24582]	ENSG00000203943	SAMD13
ENSMFAG00000044470	PCSK7	protein_coding	proprotein convertase subtilisin/kexin type 7 [Source:HGNC Symbol;Acc:HGNC:8748]	ENSG00000160613	PCSK7
ENSMFAG00000044471	TNNI3	protein_coding	"troponin I3, cardiac type [Source:HGNC Symbol;Acc:HGNC:11947]"	ENSG00000129991	TNNI3
ENSMFAG00000044472	TMEM176B	protein_coding	transmembrane protein 176B [Source:HGNC Symbol;Acc:HGNC:29596]	ENSG00000106565	TMEM176B
ENSMFAG00000044473	MGAT4C	protein_coding	MGAT4 family member C [Source:NCBI gene;Acc:101866242]	ENSG00000182050	MGAT4C
ENSMFAG00000044474	NLRP12	protein_coding	NLR family pyrin domain containing 12 [Source:HGNC Symbol;Acc:HGNC:22938]	ENSG00000142405	NLRP12
ENSMFAG00000044475		protein_coding			
ENSMFAG00000044476	MCM8	protein_coding	minichromosome maintenance 8 homologous recombination repair factor [Source:HGNC Symbol;Acc:HGNC:16147]	ENSG00000125885	MCM8
ENSMFAG00000044477	FGF16	protein_coding	fibroblast growth factor 16 [Source:HGNC Symbol;Acc:HGNC:3672]	ENSG00000196468	FGF16
ENSMFAG00000044478	CUL2	protein_coding	cullin 2 [Source:HGNC Symbol;Acc:HGNC:2552]	ENSG00000108094	CUL2
ENSMFAG00000044479	MEF2C	protein_coding	myocyte enhancer factor 2C [Source:HGNC Symbol;Acc:HGNC:6996]	ENSG00000081189	MEF2C
ENSMFAG00000044480	ABR	protein_coding	"ABR, RhoGEF and GTPase activating protein [Source:HGNC Symbol;Acc:HGNC:81]"	ENSG00000159842	ABR
ENSMFAG00000044481	NPS	protein_coding	neuropeptide S [Source:HGNC Symbol;Acc:HGNC:33940]	ENSG00000214285	NPS
ENSMFAG00000044482	SHISAL2A	protein_coding	shisa like 2A [Source:HGNC Symbol;Acc:HGNC:28757]	ENSG00000182183	SHISAL2A
ENSMFAG00000044483	CNTD2	protein_coding	cyclin N-terminal domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25805]	ENSG00000105219	CNTD2
ENSMFAG00000044484		protein_coding	cryptic protein-like [Source:NCBI gene;Acc:102141168]	ENSG00000136698	CFC1
ENSMFAG00000044485	ERICH6B	protein_coding	glutamate rich 6B [Source:HGNC Symbol;Acc:HGNC:26523]	ENSG00000165837	ERICH6B
ENSMFAG00000044486	GHRH	protein_coding	growth hormone releasing hormone [Source:HGNC Symbol;Acc:HGNC:4265]	ENSG00000118702	GHRH
ENSMFAG00000044487		protein_coding			
ENSMFAG00000044488	INO80	protein_coding	INO80 complex subunit [Source:HGNC Symbol;Acc:HGNC:26956]	ENSG00000128908	INO80
ENSMFAG00000044489		protein_coding			
ENSMFAG00000044490	SOX7	protein_coding	SRY-box 7 [Source:HGNC Symbol;Acc:HGNC:18196]	ENSG00000171056	SOX7
ENSMFAG00000044491	FITM2	protein_coding	fat storage inducing transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:16135]	ENSG00000197296	FITM2
ENSMFAG00000044492	FAM193B	protein_coding	family with sequence similarity 193 member B [Source:HGNC Symbol;Acc:HGNC:25524]	ENSG00000146067	FAM193B
ENSMFAG00000044493	PLA1A	protein_coding	phospholipase A1 member A [Source:HGNC Symbol;Acc:HGNC:17661]	ENSG00000144837	PLA1A
ENSMFAG00000044494	PGF	protein_coding	placental growth factor [Source:HGNC Symbol;Acc:HGNC:8893]	ENSG00000119630	PGF
ENSMFAG00000044495	PANK2	protein_coding	pantothenate kinase 2 [Source:HGNC Symbol;Acc:HGNC:15894]	ENSG00000125779	PANK2
ENSMFAG00000044496	LITAF	protein_coding	lipopolysaccharide induced TNF factor [Source:HGNC Symbol;Acc:HGNC:16841]	ENSG00000189067	LITAF
ENSMFAG00000044497		protein_coding	protein SSX3-like [Source:NCBI gene;Acc:102121259]	ENSG00000241476	SSX2
ENSMFAG00000044498		protein_coding			
ENSMFAG00000044499	CLGN	protein_coding	calmegin [Source:HGNC Symbol;Acc:HGNC:2060]	ENSG00000153132	CLGN
ENSMFAG00000044500	KCNK13	protein_coding	potassium two pore domain channel subfamily K member 13 [Source:HGNC Symbol;Acc:HGNC:6275]	ENSG00000152315	KCNK13
ENSMFAG00000044501	BCR	protein_coding	"BCR, RhoGEF and GTPase activating protein [Source:HGNC Symbol;Acc:HGNC:1014]"	ENSG00000186716	BCR
ENSMFAG00000044502	MAP3K10	protein_coding	mitogen-activated protein kinase kinase kinase 10 [Source:HGNC Symbol;Acc:HGNC:6849]	ENSG00000130758	MAP3K10
ENSMFAG00000044503	NAT1	protein_coding	N-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:7645]	ENSG00000171428	NAT1
ENSMFAG00000044504	ZCCHC14	protein_coding	zinc finger CCHC-type containing 14 [Source:HGNC Symbol;Acc:HGNC:24134]	ENSG00000140948	ZCCHC14
ENSMFAG00000044505	ENDOG	protein_coding	endonuclease G [Source:HGNC Symbol;Acc:HGNC:3346]	ENSG00000167136	ENDOG
ENSMFAG00000044506	LRRC27	protein_coding	leucine rich repeat containing 27 [Source:HGNC Symbol;Acc:HGNC:29346]	ENSG00000148814	LRRC27
ENSMFAG00000044507		protein_coding	pyruvate kinase M1/2 [Source:NCBI gene;Acc:101865678]	ENSG00000067225	PKM
ENSMFAG00000044508		protein_coding			
ENSMFAG00000044509	HAS1	protein_coding	hyaluronan synthase 1 [Source:HGNC Symbol;Acc:HGNC:4818]	ENSG00000105509	HAS1
ENSMFAG00000044510	GNG8	protein_coding	G protein subunit gamma 8 [Source:HGNC Symbol;Acc:HGNC:19664]	ENSG00000167414	GNG8
ENSMFAG00000044511	CD180	protein_coding	CD180 molecule [Source:HGNC Symbol;Acc:HGNC:6726]	ENSG00000134061	CD180
ENSMFAG00000044512	OTOP1	protein_coding	otopetrin 1 [Source:HGNC Symbol;Acc:HGNC:19656]	ENSG00000163982	OTOP1
ENSMFAG00000044513		protein_coding	glucose-6-phosphate isomerase-like [Source:NCBI gene;Acc:102140927]	ENSG00000105220	GPI
ENSMFAG00000044514	AKTIP	protein_coding	AKT interacting protein [Source:NCBI gene;Acc:101865159]	ENSG00000166971	AKTIP
ENSMFAG00000044515	FBXO3	protein_coding	F-box protein 3 [Source:NCBI gene;Acc:101925414]	ENSG00000110429	FBXO3
ENSMFAG00000044516		protein_coding			
ENSMFAG00000044517	AHCYL1	protein_coding	adenosylhomocysteinase like 1 [Source:HGNC Symbol;Acc:HGNC:344]	ENSG00000168710	AHCYL1
ENSMFAG00000044518	AOC1	protein_coding	"amine oxidase, copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80]"	ENSG00000002726	AOC1
ENSMFAG00000044519		protein_coding	leucine-rich repeat-containing protein 37A2 [Source:NCBI gene;Acc:102139567]	ENSG00000185158	LRRC37B
ENSMFAG00000044520		protein_coding			
